booking_code,customer_id,ticket_source_name,created_date,trip_date,from_to,comp_id,bus_rating,vehicle_type,seat_type,quantity,total_fare,customer_type
ZZ79Y,//XTrwPRPs2v7NlVb4sQ, Android,7/11/2020,7/12/2020,Hồ Chí Minh - Vĩnh Long,SEdmxcaTjEz8RRJpPM13Dwn+U/G9IxtHIfDULi6fxBI,4.1,normal,Sleeper,1,96000,New Customer
9I4Y4,/+K/lksxmcWdGKLQ26dA, iOS,7/16/2020,7/16/2020,Hồ Chí Minh - Bình Thuận,0CjrvlFTB0WtkbXzbICEsrAqoexAcrY5otb44hQzxGg,4.8,normal,Sleeper,1,168000,Old Customer
FP285,/0i6xIqlQskQASEuAuCA, Android,7/25/2020,7/28/2020,Nghệ An - Hà Nội,G29Krp2D4RNoD3mBRPI76T1M+EN4CaHcAVNRxWXFSfA,4.4,limousine,Sleeper,1,240000,New Customer
9R3T7,/0M08y4bMNKAX1y20JTg, iOS,7/4/2020,7/5/2020,Lâm Đồng - Hồ Chí Minh,jNPO7+b/j9cYdfMaiHsSIeBAQVmZnNw1i865WHHVkZI,4,normal,Sleeper,2,400000,Old Customer
74AIU,/14OguZKy9lO6psNpiAw, Android,8/19/2020,8/20/2020,Hồ Chí Minh - Ninh Thuận,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,limousine,Sleeper,2,840000,Old Customer
0F013,/14OguZKy9lO6psNpiAw, Android,7/1/2020,7/2/2020,Hồ Chí Minh - Ninh Thuận,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,limousine,Sleeper,2,720000,New Customer
72UP7,/183ykwv73FlYguZ7M9Q, iOS,7/28/2020,7/28/2020,Kiên Giang - Hồ Chí Minh,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,1,224000,New Customer
9KLU0,/1LeBHstpoAgVzsr0/oA, iOS,7/15/2020,7/19/2020,Hồ Chí Minh - Kiên Giang,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,3,1008000,New Customer
684OM,/21JDU5c20F/4JyGb2Cg, Android,7/5/2020,7/6/2020,Quảng Ninh - Hà Nội,VVg96MEsk5RjGkMQ8a2fAaNoScVV+iSAj5irdP5GKaE,4,limousine,Seater,1,300000,New Customer
E6YER,/2gEyq2je1sflJ3Gh0MQ, Android,7/12/2020,7/31/2020,Hồ Chí Minh - Khánh Hòa,P57UqyeJhRKYqWo206C6ygntgl5aZGmHzcRiRYUjEYs,4.4,normal,Sleeper,4,640000,New Customer
415EH,/4JpVeQtvLW3URt1K1Dw, iOS,7/29/2020,7/31/2020,Hà Nội - Sơn La,Jhp2zCWA8Xj1rpmUt+TatVltDQDDYrpy4h+5QeuuZSQ,4.8,limousine,Seater,1,264000,Old Customer
3R1ZT,/4RP3YippZaQyRTD5pGA, Android,7/23/2020,8/2/2020,Lâm Đồng - Bình Dương,jNPO7+b/j9cYdfMaiHsSIeBAQVmZnNw1i865WHHVkZI,4,normal,Sleeper,2,288000,Old Customer
4905Q,/4RP3YippZaQyRTD5pGA, Android,7/22/2020,7/30/2020,Bình Dương - Lâm Đồng,jNPO7+b/j9cYdfMaiHsSIeBAQVmZnNw1i865WHHVkZI,4,normal,Sleeper,2,600000,Old Customer
Q310V,/7nR/GN7xtwn0ijC03pQ, iOS,7/11/2020,7/11/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,1,80000,Old Customer
XQV61,/7nR/GN7xtwn0ijC03pQ, iOS,7/6/2020,7/7/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,1,120000,Old Customer
424IX,/9lmtNgSmV2ubwWNPpyw, Android,8/1/2020,8/2/2020,Hồ Chí Minh - Bình Phước,0fUMYWSegECRjZ2/NtLXFoBBkGiLwxVrXxGWUu04si8,2.9,limousine,Seater,1,112000,Old Customer
638E4,/9lmtNgSmV2ubwWNPpyw, Android,8/1/2020,8/2/2020,Hồ Chí Minh - Bình Phước,0fUMYWSegECRjZ2/NtLXFoBBkGiLwxVrXxGWUu04si8,2.9,limousine,Seater,1,112000,Old Customer
DK20I,/9lmtNgSmV2ubwWNPpyw, Android,8/1/2020,8/2/2020,Hồ Chí Minh - Bình Phước,0fUMYWSegECRjZ2/NtLXFoBBkGiLwxVrXxGWUu04si8,2.9,limousine,Seater,1,168000,Old Customer
63YT8,/9nA3jQcQi2pv/kj8opQ, Android,7/4/2020,7/5/2020,Gia Lai - Hồ Chí Minh,ZiTLngAVo6WH+qLfInsIT+8nEv+UJeSGNHSO1PYzMkU,4,normal,Sleeper,1,300000,Old Customer
ZJ2R9,/A2NJHfusKpS3QMvCZWA, iOS,7/9/2020,8/2/2020,Khánh Hòa - Hồ Chí Minh,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,limousine,Sleeper,3,1080000,Old Customer
BIZ5Y,/A2NJHfusKpS3QMvCZWA, iOS,7/8/2020,7/30/2020,Hồ Chí Minh - Khánh Hòa,8vV+zp4z7QG/vEnNk7tOynx604GjCvjWymEWFCSCV3c,4.1,normal,Sleeper,3,696000,Old Customer
561ZJ,/Be9nyfsz9WJXPxvl/Lw, Android,8/10/2020,8/13/2020,Hồ Chí Minh - Kon Tum,1yrxZr9qd18IDxIuoozn08ChmD47SiEC6LLIvGHUW3E,4.3,normal,Sleeper,1,200000,New Customer
V37P8,/CI8VAPHCDK5OMMiWipA, iOS,8/21/2020,8/22/2020,Ninh Thuận - Hồ Chí Minh,9SeGoClJ1vAQu3SjV2GhVxGmYTRnI3J6UMsE2MauVIU,4.5,normal,Sleeper,1,360000,Old Customer
3I291,/CI8VAPHCDK5OMMiWipA, iOS,7/26/2020,7/29/2020,Ninh Thuận - Hồ Chí Minh,9SeGoClJ1vAQu3SjV2GhVxGmYTRnI3J6UMsE2MauVIU,4.5,normal,Sleeper,1,240000,Old Customer
VG1OK,/CI8VAPHCDK5OMMiWipA, iOS,7/24/2020,7/26/2020,Hồ Chí Minh - Ninh Thuận,9SeGoClJ1vAQu3SjV2GhVxGmYTRnI3J6UMsE2MauVIU,4.5,normal,Sleeper,1,240000,Old Customer
774JF,/cqcIjpx2AboBarfeJqQ, Android,7/11/2020,7/12/2020,Hồ Chí Minh - Bình Dương,0fUMYWSegECRjZ2/NtLXFoBBkGiLwxVrXxGWUu04si8,2.9,limousine,Seater,1,120000,New Customer
D6J49,/ctxb5heuGelJuebfpaw, Android,8/19/2020,8/19/2020,Nghệ An - Hà Nội,G29Krp2D4RNoD3mBRPI76T1M+EN4CaHcAVNRxWXFSfA,4.4,limousine,Sleeper,1,240000,Old Customer
355A7,/dJylf848+iVznZp4Abw, Android,8/22/2020,8/23/2020,Hồ Chí Minh - Gia Lai,kIqYfp0Tr1sqvs4K4iGiOf5uFkgB72w9lgSvBhv1enA,4.3,limousine,Sleeper,1,280000,Old Customer
SK48B,/ECixKQCVjgxcmmxl1rQ, iOS,8/24/2020,8/25/2020,Hà Nội - Nghệ An,Ipu095tiPOGNnxRCr+eIHD6eKn4a7W1fDVndh4xj6l8,4.8,limousine,Sleeper,2,520000,New Customer
01H39,/EDjRxeC7JDy4pUZH3/Q, iOS,7/31/2020,8/1/2020,Hồ Chí Minh - Khánh Hòa,lzhqg6Sxvu3u54zGoKnzdQ50NGJGZ8vPhJd/pXcUn0c,4.4,limousine,Sleeper,1,200000,Old Customer
0ABZT,/EDjRxeC7JDy4pUZH3/Q, iOS,7/13/2020,7/24/2020,Hồ Chí Minh - Khánh Hòa,lzhqg6Sxvu3u54zGoKnzdQ50NGJGZ8vPhJd/pXcUn0c,4.4,limousine,Sleeper,1,200000,Old Customer
NW2GS,/EDjRxeC7JDy4pUZH3/Q, iOS,7/3/2020,7/5/2020,Khánh Hòa - Hồ Chí Minh,lzhqg6Sxvu3u54zGoKnzdQ50NGJGZ8vPhJd/pXcUn0c,4.4,limousine,Sleeper,1,304000,Old Customer
34D5Q,/etHTBSoJsCtnCX7m4Rw, Android,7/26/2020,7/27/2020,Đà Nẵng - Gia Lai,OJHX/bGaz4I1GeNk/U+BhqCQ9I69F4/2wzUqkay6nkA,4.6,normal,Sleeper,2,320000,New Customer
483L9,/hgilbcFAn05JdxbFBDw, Android,7/27/2020,7/28/2020,Phú Yên - Hồ Chí Minh,1sJJt2mvT8zFLS+OGkt7Ru+T7LTg07uSzWb+dsbP5Zs,3.7,normal,Sleeper,1,276000,Old Customer
KE114,/J5zxDuvd5fpPhTF6SnA, Android,7/24/2020,7/26/2020,Hồ Chí Minh - Cà Mau,XlYFWzOE4K03YsppJOEJZLzZ7BtLcVrjXDjCNPu5v/M,4.5,limousine,Sleeper,1,324000,Old Customer
3SAIR,/jg87Lqms71VNMQGXQgQ, Android,7/27/2020,7/28/2020,Đắk Lắk - Gia Lai,s+KzUOaM8vbsvlCXGX/yTzTrzTHluNLg+s7gzJCbdx0,4.6,limousine,Seater,2,320000,Old Customer
3LMN1,/JlBFLlLcbybhqUwgINg, iOS,8/3/2020,8/4/2020,Ninh Thuận - Hồ Chí Minh,2h92jAA2q0luwK5iqlMNk8InWpEpiuXLi8ZzHdGH/os,1.9,normal,Sleeper,1,160000,Old Customer
95Q85,/JlBFLlLcbybhqUwgINg, iOS,7/16/2020,7/17/2020,Hồ Chí Minh - Ninh Thuận,ArTcLcsVc9jq4IEWiBcE9KySLs0N+bUQGyqcF2cvYus,4.2,normal,Sleeper,3,576000,Old Customer
W94A9,/KvEd20As8nxkY5LZDrA, iOS,7/22/2020,7/22/2020,Đà Nẵng - Khánh Hòa,L0Z0ODguduRKvp4eEjMvYJeC7hf83LayxXXrSZCVty0,3.3,normal,Sleeper,1,336000,Old Customer
QYDZ1,/KvEd20As8nxkY5LZDrA, iOS,7/20/2020,7/20/2020,Khánh Hòa - Đà Nẵng,EFEEX1zXjDnSp9aYF/1EonrBzI7uvTyNVKbE/Wf79U8,3,normal,Sleeper,1,184000,Old Customer
HB7HB,/KvEd20As8nxkY5LZDrA, iOS,7/2/2020,7/2/2020,Đà Nẵng - Khánh Hòa,L0Z0ODguduRKvp4eEjMvYJeC7hf83LayxXXrSZCVty0,3.3,normal,Sleeper,1,352000,Old Customer
CY73V,/LZtS8BiARDUZ6fb3c9Q, iOS,7/25/2020,7/26/2020,Lào Cai - Hà Nội,M5GwDQvn0xEPAdaUY+DE9ibwUNGb5TrBxS+PrOj3sI0,4.4,limousine,Seater,3,1620000,New Customer
36STJ,/m+bS214S4imXJ/CWZtg, iOS,8/24/2020,8/25/2020,Khánh Hòa - Hồ Chí Minh,EFEEX1zXjDnSp9aYF/1EonrBzI7uvTyNVKbE/Wf79U8,3,normal,Sleeper,1,176000,Old Customer
I7B11,/m+bS214S4imXJ/CWZtg, iOS,8/6/2020,8/7/2020,Hồ Chí Minh - Khánh Hòa,ZNDdklXZ9heMhXqaslijfMjcAbbS/VEli9GIYriP7CQ,4.2,normal,Sleeper,1,240000,New Customer
5541S,/Mo2ZbqMrTQpR1QRmpJA, iOS,7/5/2020,7/6/2020,Lâm Đồng - Bình Dương,jNPO7+b/j9cYdfMaiHsSIeBAQVmZnNw1i865WHHVkZI,4,normal,Sleeper,2,600000,Old Customer
38022,/MyjvccdU5hXaH+N3c8g, iOS,7/22/2020,7/24/2020,Hồ Chí Minh - Khánh Hòa,30dR03KsYbSO+A+wNXESZLvmAmMzwcnPxZT7b1bxioA,2.9,limousine,Sleeper,2,600000,Old Customer
L7969,/O5jGer2qkE61D32qX3A, Android,8/16/2020,8/16/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,1,120000,Old Customer
Y3521,/O5jGer2qkE61D32qX3A, Android,8/14/2020,8/14/2020,Hà Nội - Hải Phòng,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,normal,Seater,1,120000,Old Customer
0B9Y3,/O5jGer2qkE61D32qX3A, Android,7/5/2020,7/5/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,normal,Seater,1,80000,Old Customer
81E6B,/p7+HDS7+EDFMVzfMhcg, iOS,8/9/2020,8/9/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,1,120000,Old Customer
3TD5X,/p7+HDS7+EDFMVzfMhcg, iOS,8/6/2020,8/7/2020,Hà Nội - Hải Phòng,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,1,80000,Old Customer
F2A72,/q+EbokZIBdpDpkMCbdg, Android,7/16/2020,7/17/2020,Hà Nội - Hà Tĩnh,TTCQDgMJzRNRzF3M4o5fNxqZuIZxw+vAXTAYJ6aCcA0,4.9,limousine,Sleeper,2,640000,New Customer
7KD83,/q5ja0BoNjnTVay283+A, iOS,8/4/2020,8/4/2020,Bà Rịa-Vũng Tàu - Hồ Chí Minh,AAkxgTNuXvJtl9C76EfD573eJEQ2a2FUlmkR0qW3Rtg,4.2,limousine,Seater,1,180000,Old Customer
6J56D,/q5ja0BoNjnTVay283+A, iOS,7/22/2020,7/23/2020,Bà Rịa-Vũng Tàu - Hồ Chí Minh,AAkxgTNuXvJtl9C76EfD573eJEQ2a2FUlmkR0qW3Rtg,4.2,limousine,Seater,1,128000,Old Customer
M3E2W,/q5ja0BoNjnTVay283+A, iOS,7/20/2020,7/21/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,AAkxgTNuXvJtl9C76EfD573eJEQ2a2FUlmkR0qW3Rtg,4.2,limousine,Seater,1,192000,New Customer
6U266,/q6Id2RpN3y1t2EZrBOg, Android,8/6/2020,8/7/2020,Bến Tre - Hồ Chí Minh,mIgprBddHRA/UysJh5ZtcLPQLiYdyG6A7o1b+zGMiVM,4.5,normal,Seater,1,60000,Old Customer
7CP35,/q6Id2RpN3y1t2EZrBOg, Android,8/5/2020,8/6/2020,Bến Tre - Hồ Chí Minh,mIgprBddHRA/UysJh5ZtcLPQLiYdyG6A7o1b+zGMiVM,4.5,normal,Seater,1,90000,New Customer
F1867,/qDKaYbovDAXo52jUMOA, iOS,7/26/2020,7/26/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,2,160000,Old Customer
WK0W4,/qWMyAuqjeakXfdoSY/g, Android,8/25/2020,8/25/2020,Hồ Chí Minh - Phú Yên,jRKL+Xxgl2Kwfi/exSJaZUIoeSd0/hIHexLWxYn3G+0,4.4,normal,Sleeper,1,120000,Old Customer
872GM,/qWMyAuqjeakXfdoSY/g, Android,8/8/2020,8/9/2020,Phú Yên - Hồ Chí Minh,jRKL+Xxgl2Kwfi/exSJaZUIoeSd0/hIHexLWxYn3G+0,4.4,normal,Sleeper,2,280000,Old Customer
0M8WU,/qxl75MrshMvwxQQIukA, iOS,8/23/2020,8/23/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,2,240000,Old Customer
H8OSE,/qxl75MrshMvwxQQIukA, iOS,7/12/2020,7/13/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,2,160000,Old Customer
5530U,/Rr1fS+8W0qlsBks5Zrw, iOS,7/16/2020,7/16/2020,Hà Nội - Nghệ An,Ipu095tiPOGNnxRCr+eIHD6eKn4a7W1fDVndh4xj6l8,4.8,limousine,Sleeper,1,390000,Old Customer
CIL81,/Rr1fS+8W0qlsBks5Zrw, iOS,7/10/2020,7/10/2020,Hà Nội - Nghệ An,G29Krp2D4RNoD3mBRPI76T1M+EN4CaHcAVNRxWXFSfA,4.4,limousine,Sleeper,1,240000,New Customer
U7RUQ,/RtOvCzxRlGXlU8iDUow, Android,7/24/2020,7/24/2020,Hồ Chí Minh - Khánh Hòa,L0Z0ODguduRKvp4eEjMvYJeC7hf83LayxXXrSZCVty0,3.3,normal,Sleeper,1,264000,New Customer
IUN51,/s93aYhIrKesRFA1cIAg, iOS,8/26/2020,8/28/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,3rd2jkUC0b7Au5AtNWmvJmv9B3AsGKWklQMDQTJK3t0,4.5,limousine,Seater,1,128000,Old Customer
H8M6R,/s93aYhIrKesRFA1cIAg, iOS,8/26/2020,8/28/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,AAkxgTNuXvJtl9C76EfD573eJEQ2a2FUlmkR0qW3Rtg,4.2,limousine,Seater,1,192000,Old Customer
5TBYX,/s93aYhIrKesRFA1cIAg, iOS,8/1/2020,8/2/2020,Cần Thơ - Hồ Chí Minh,cnpnkH+fT1OWzOc++cOLb0NC65Ml0nUh6WLmMpzB3g8,4.1,limousine,Seater,2,432000,Old Customer
8TRGM,/t4/9MC+Lj+lWnahfVCQ, Android,7/17/2020,7/19/2020,Ninh Thuận - Hồ Chí Minh,fd9vqchy6vZtOpzux7edbUj4wxmmm4H/RPXrc2vuoLo,3.5,normal,Sleeper,1,192000,Old Customer
I0Z9K,/t4/9MC+Lj+lWnahfVCQ, Android,7/5/2020,7/6/2020,Ninh Thuận - Hồ Chí Minh,IPFsJceyvMq/XkMzZ2QVKef/PeYq9+h2RXzk150R3uA,4.1,normal,Sleeper,2,360000,Old Customer
K1F7E,/t4/9MC+Lj+lWnahfVCQ, Android,7/1/2020,7/3/2020,Hồ Chí Minh - Ninh Thuận,ubHxFXyvzZuOuA+ksXbqADGS8jpol/L/3ETRaZaCbCE,4.2,normal,Sleeper,2,384000,Old Customer
DG74L,/te0cUWI3BMPZBV+Alig, iOS,7/21/2020,7/21/2020,Hồ Chí Minh - Đắk Lắk,VQskpo8A72uzGQSXOP04omN3AHsYV5orHuSrObloJV8,4.5,limousine,Sleeper,1,456000,Old Customer
3I0CY,/te0cUWI3BMPZBV+Alig, iOS,7/13/2020,7/13/2020,Đắk Lắk - Ninh Thuận,EFEEX1zXjDnSp9aYF/1EonrBzI7uvTyNVKbE/Wf79U8,3,limousine,Sleeper,1,288000,Old Customer
20Z5K,/tnkJmm8d1P9wosZ5pcQ, Android,7/3/2020,7/4/2020,Hồ Chí Minh - Đắk Lắk,4OH9jsKN3R4Can+WNbwHdcSa43iJ7OH04W4PdBG0MGo,3.2,normal,Sleeper,2,352000,New Customer
M3R9V,/TqufttiJ9oydQf/C02g, iOS,7/25/2020,7/26/2020,Bình Định - Hồ Chí Minh,ghiHMPDYNzX7f9Ds6+edrYLdWhdrLTzSL110K8ZIiIE,3.9,limousine,Sleeper,1,360000,Old Customer
04969,/TqufttiJ9oydQf/C02g, iOS,7/22/2020,7/23/2020,Hồ Chí Minh - Bình Định,dAo9AwXExdJm+qjz3UyS+cXHuge1exZpPT7ThfrFumw,3.1,normal,Sleeper,1,240000,New Customer
F03M1,/v8Sn0vR8l2lJFDEFLwQ, iOS,8/3/2020,8/3/2020,Hồ Chí Minh - Ninh Thuận,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,normal,Sleeper,1,252000,Old Customer
785EK,/VdqAstUUiEGIAj2ztrQ, iOS,7/29/2020,7/29/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,lsflCU0tfkL7xAt53u1glgiDeVVPMwsRNQEojVnmVV4,3.5,limousine,Seater,3,384000,New Customer
51905,/VZRcVK9qIHlpYDN+log, iOS,7/20/2020,7/21/2020,Đà Nẵng - Lâm Đồng,FtGCLhWQ2TPqVeUc7qC692of30naefCFDIkAnXAdPwE,2.9,normal,Sleeper,1,330000,New Customer
9DP1G,/wbmddKW7vIvh0/IrniA, iOS,7/10/2020,7/12/2020,Lào Cai - Bắc Ninh,nmTPmtID7+tptTa8fZ1pa81ydqztRsAletbPtoeMPD8,3,normal,Sleeper,2,624000,Old Customer
ALJF6,/wbmddKW7vIvh0/IrniA, iOS,7/3/2020,7/9/2020,Bắc Ninh - Lào Cai,nmTPmtID7+tptTa8fZ1pa81ydqztRsAletbPtoeMPD8,3,normal,Seater,2,624000,New Customer
389Y2,/wz2w7B9h4A3ScekPvdA, Android,8/8/2020,8/9/2020,Hồ Chí Minh - Kon Tum,ZiTLngAVo6WH+qLfInsIT+8nEv+UJeSGNHSO1PYzMkU,4,normal,Sleeper,1,200000,Old Customer
51B2U,/wz2w7B9h4A3ScekPvdA, Android,8/6/2020,8/7/2020,Kon Tum - Hồ Chí Minh,ZiTLngAVo6WH+qLfInsIT+8nEv+UJeSGNHSO1PYzMkU,4,normal,Sleeper,1,200000,Old Customer
0KL3J,/wz2w7B9h4A3ScekPvdA, Android,7/19/2020,7/20/2020,Hồ Chí Minh - Kon Tum,ZiTLngAVo6WH+qLfInsIT+8nEv+UJeSGNHSO1PYzMkU,4,normal,Sleeper,1,200000,New Customer
3GC30,/XIMuHivrEFGqZ5hfFGA, Android,7/1/2020,7/3/2020,Đắk Lắk - Đà Nẵng,4EzjzNDJAz3PCbGTMb5/K9MDUJyf4+v/w5GD2N2r6QU,4,normal,Sleeper,1,320000,New Customer
18PP0,/xP/djRp2yCmsQmYU3GQ, Android,7/6/2020,7/12/2020,Khánh Hòa - Hồ Chí Minh,EFEEX1zXjDnSp9aYF/1EonrBzI7uvTyNVKbE/Wf79U8,3,normal,Sleeper,3,792000,Old Customer
3DVDI,/xP/djRp2yCmsQmYU3GQ, Android,7/5/2020,7/10/2020,Hồ Chí Minh - Khánh Hòa,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,normal,Sleeper,3,756000,New Customer
QIJJH,/yVZ92vXzuyRpd3aR1jg, iOS,7/31/2020,8/1/2020,Bà Rịa-Vũng Tàu - Ninh Thuận,4BoHuwyi6vGhvHib6DaUexxPeXERY6sgXgBp7nqQ17o,2.7,limousine,Sleeper,1,180000,Old Customer
63OH9,/yVZ92vXzuyRpd3aR1jg, iOS,7/21/2020,7/22/2020,Phú Yên - Hồ Chí Minh,TMNd/sHsKtfwR26A6ui8gUSYA173yZRtYCuuI92ORqo,3.8,limousine,Sleeper,2,600000,New Customer
L3L79,/zlHOvtYf8SoZtqYa/5g, Android,8/21/2020,8/22/2020,Hồ Chí Minh - Ninh Thuận,9SeGoClJ1vAQu3SjV2GhVxGmYTRnI3J6UMsE2MauVIU,4.5,normal,Sleeper,1,192000,Old Customer
5Z921,+/ROWqSLCOkz3rRv4+aQ, Android,7/20/2020,7/20/2020,Hồ Chí Minh - Khánh Hòa,1LWVQGpaxkWM2fQZc1PQh+B0m87rHQGbSOf3hM48uCs,4.1,normal,Sleeper,1,240000,Old Customer
Y260S,++B9tckBgQze6DGeAsyA, Android,7/27/2020,7/28/2020,Hồ Chí Minh - Khánh Hòa,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,normal,Sleeper,3,756000,Old Customer
2B4G3,++iQxyPsM6AQjmPjjKcQ, Android,7/17/2020,7/17/2020,Hồ Chí Minh - Bình Thuận,ZNDdklXZ9heMhXqaslijfMjcAbbS/VEli9GIYriP7CQ,4.2,normal,Sleeper,1,104000,New Customer
D6F53,++iQxyPsM6AQjmPjjKcQ, Android,7/17/2020,7/18/2020,Bình Thuận - Hồ Chí Minh,ZNDdklXZ9heMhXqaslijfMjcAbbS/VEli9GIYriP7CQ,4.2,normal,Sleeper,1,120000,New Customer
BJ9WX,++n+CKgSeKkVqCGcCk1w, iOS,8/21/2020,8/25/2020,Hồ Chí Minh - Bình Thuận,XhAjvsbqEnxmzlHYze3lslQ32FQ8tpO0uE7NjDLgb6o,3.7,limousine,Seater,2,400000,Old Customer
552NV,+2HSp4iZB1VdWd2taKkA, iOS,7/1/2020,7/2/2020,Hòa Bình - Hà Nội,VOmXgn4DJd7LBgLVcAMwo1/bK+qKZV4m78VtZ3cluh4,5,limousine,Seater,3,612000,Old Customer
0RWQ6,+33Yt0gwL0CmSC7+fPzg, Android,7/5/2020,7/6/2020,Đà Nẵng - Hà Nội,js01A48IbV+eIM52pnQiqtd6iaRHV0HPM5m3209lwYI,4.2,normal,Sleeper,1,372000,Old Customer
KY548,+33Yt0gwL0CmSC7+fPzg, Android,7/2/2020,7/3/2020,Hà Nội - Đà Nẵng,js01A48IbV+eIM52pnQiqtd6iaRHV0HPM5m3209lwYI,4.2,normal,Sleeper,1,248000,New Customer
92A0I,+3KjQweK4kVJpYrwJyXw, iOS,7/30/2020,7/31/2020,Nghệ An - Vĩnh Phúc,DWiOKMJvl26TB1vjMB65rnFp/MxiwIBEk9guosAw3/s,4.1,normal,Sleeper,1,240000,New Customer
B1G0C,+3KjQweK4kVJpYrwJyXw, iOS,7/30/2020,7/31/2020,Nghệ An - Vĩnh Phúc,DWiOKMJvl26TB1vjMB65rnFp/MxiwIBEk9guosAw3/s,4.1,normal,Sleeper,1,160000,New Customer
47644,+3pR9BbqgQLHvwIvN4vQ, iOS,7/23/2020,7/23/2020,Hồ Chí Minh - Gia Lai,kIqYfp0Tr1sqvs4K4iGiOf5uFkgB72w9lgSvBhv1enA,4.3,limousine,Sleeper,1,420000,New Customer
98T4P,+3WgqsEfNjk4Ds3wSPyA, iOS,8/22/2020,8/23/2020,Nghệ An - Thanh Hóa,G29Krp2D4RNoD3mBRPI76T1M+EN4CaHcAVNRxWXFSfA,4.4,limousine,Sleeper,1,240000,New Customer
8H649,+4h2LFE1sMJToYRVO1Zg, iOS,7/22/2020,7/29/2020,Hồ Chí Minh - Khánh Hòa,L0Z0ODguduRKvp4eEjMvYJeC7hf83LayxXXrSZCVty0,3.3,normal,Sleeper,4,1728000,New Customer
806Z2,+7WLElahZIxgjcxxx7GQ, Android,8/1/2020,8/3/2020,Phú Yên - Hồ Chí Minh,ugVDwYZjDXEFvjunZSRZSCnO9l5d6xpNTTwMN22cAk0,4.2,limousine,Sleeper,1,480000,Old Customer
9V994,+7WLElahZIxgjcxxx7GQ, Android,7/28/2020,7/30/2020,Hồ Chí Minh - Phú Yên,ugVDwYZjDXEFvjunZSRZSCnO9l5d6xpNTTwMN22cAk0,4.2,limousine,Sleeper,1,420000,Old Customer
E857O,+8IVd+cqu0XOrnJiSgKQ, Android,7/5/2020,7/5/2020,Hà Nội - Thanh Hóa,PrS79bVdJQovG/4MJM5ES2Hl6VJJPQ1dRzECJN8k81E,4.2,limousine,Seater,1,216000,Old Customer
46PT2,+8IVd+cqu0XOrnJiSgKQ, Android,7/3/2020,7/4/2020,Thanh Hóa - Hà Nội,PrS79bVdJQovG/4MJM5ES2Hl6VJJPQ1dRzECJN8k81E,4.2,limousine,Seater,1,144000,Old Customer
T5U77,+9EC1CtpLzhZmExlCsqQ, Android,7/18/2020,8/16/2020,Đắk Lắk - Hồ Chí Minh,TMNd/sHsKtfwR26A6ui8gUSYA173yZRtYCuuI92ORqo,3.8,limousine,Sleeper,1,176000,Old Customer
MOT39,+9EC1CtpLzhZmExlCsqQ, Android,7/17/2020,8/16/2020,Đắk Lắk - Hồ Chí Minh,TMNd/sHsKtfwR26A6ui8gUSYA173yZRtYCuuI92ORqo,3.8,limousine,Sleeper,1,176000,Old Customer
Y9P9U,+9iykGZFkPyZu/B7SIVw, iOS,7/26/2020,7/26/2020,Hồ Chí Minh - Phú Yên,EFEEX1zXjDnSp9aYF/1EonrBzI7uvTyNVKbE/Wf79U8,3,normal,Sleeper,1,268800,New Customer
