booking_code,customer_id,ticket_source_name,created_date,trip_date,from_to,comp_id,bus_rating,vehicle_type,seat_type,quantity,total_fare,customer_type
2CT76,eMsxiT/Y2QJh8IAzrK2Q, Android,8/14/2020,8/16/2020,Ninh Thuận - Hồ Chí Minh,ArTcLcsVc9jq4IEWiBcE9KySLs0N+bUQGyqcF2cvYus,4.2,normal,Sleeper,1,192000,Old Customer
2FTWS,emUG4y7nV62g0ucGBmaQ, iOS,7/20/2020,8/13/2020,Hà Nội - Quảng Bình,lUl7cznYBpT5xKEjD3C1ct3aup6ht/kTR1ISYukk2g4,4.5,normal,Sleeper,2,600000,Old Customer
9FEMX,emUG4y7nV62g0ucGBmaQ, iOS,7/17/2020,8/13/2020,Hà Nội - Quảng Bình,lUl7cznYBpT5xKEjD3C1ct3aup6ht/kTR1ISYukk2g4,4.5,normal,Sleeper,2,600000,New Customer
103YO,emunSUQJQ7r+y6zlaP9Q, iOS,7/18/2020,7/19/2020,Nghệ An - Hà Nội,G29Krp2D4RNoD3mBRPI76T1M+EN4CaHcAVNRxWXFSfA,4.4,limousine,Sleeper,1,160000,Old Customer
WVECZ,emunSUQJQ7r+y6zlaP9Q, iOS,7/16/2020,7/17/2020,Hà Nội - Nghệ An,TTCQDgMJzRNRzF3M4o5fNxqZuIZxw+vAXTAYJ6aCcA0,4.9,normal,Sleeper,1,224000,Old Customer
PI8I8,EmXgMOlURfEZYDnly9mQ, iOS,7/10/2020,7/25/2020,Đắk Lắk - Hồ Chí Minh,4EzjzNDJAz3PCbGTMb5/K9MDUJyf4+v/w5GD2N2r6QU,4,normal,Sleeper,1,456000,New Customer
M49BS,eN9HqCLEFZz2cTcZ7XmA, iOS,7/10/2020,7/11/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,AAkxgTNuXvJtl9C76EfD573eJEQ2a2FUlmkR0qW3Rtg,4.2,limousine,Seater,1,128000,Old Customer
20KY2,enHdVWbrj+t8ILb/Mvgw, iOS,7/12/2020,7/13/2020,Đà Nẵng - Hà Nội,js01A48IbV+eIM52pnQiqtd6iaRHV0HPM5m3209lwYI,4.2,normal,Sleeper,1,372000,Old Customer
WSD43,enU19Um0BFVd65IE02kg, iOS,7/11/2020,7/11/2020,Thừa Thiên-Huế - Đà Nẵng,ACs/7wn5Q1nDzHFFqoLyhgi4tgrINXHKHtQPs0a7r94,3.4,limousine,Seater,1,216000,Old Customer
CLQNS,enU19Um0BFVd65IE02kg, iOS,7/9/2020,7/10/2020,Đà Nẵng - Thừa Thiên-Huế,ACs/7wn5Q1nDzHFFqoLyhgi4tgrINXHKHtQPs0a7r94,3.4,limousine,Seater,1,144000,Old Customer
S4N68,enwyLy+CLXoVxOok/4pA, iOS,7/24/2020,7/27/2020,Hồ Chí Minh - Khánh Hòa,lzhqg6Sxvu3u54zGoKnzdQ50NGJGZ8vPhJd/pXcUn0c,4.4,limousine,Sleeper,3,864000,Old Customer
5D4D2,enwyLy+CLXoVxOok/4pA, iOS,7/24/2020,7/27/2020,Hồ Chí Minh - Khánh Hòa,lzhqg6Sxvu3u54zGoKnzdQ50NGJGZ8vPhJd/pXcUn0c,4.4,limousine,Sleeper,1,432000,Old Customer
W9IZ6,ENZDOQB089IYAl+pZ05w, Android,7/5/2020,7/5/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,1,80000,Old Customer
3UW0Y,EObE6OcOSjkhzHCLhjUQ, iOS,8/18/2020,8/19/2020,Lâm Đồng - Hồ Chí Minh,TpYnSNOIEGzlNfy7MeOI/cIHFL1YTVf4m8dSAiO0egE,3.9,limousine,Seater,1,240000,Old Customer
T83XF,EOtd4W7dnucaikoLcL0g, iOS,7/14/2020,7/16/2020,Hồ Chí Minh - Khánh Hòa,8vV+zp4z7QG/vEnNk7tOynx604GjCvjWymEWFCSCV3c,4.1,normal,Sleeper,3,696000,Old Customer
Z51E4,eoTH30Shrvc74FCe2rxA, iOS,7/15/2020,7/15/2020,Hồ Chí Minh - Đắk Lắk,VQskpo8A72uzGQSXOP04omN3AHsYV5orHuSrObloJV8,4.5,limousine,Sleeper,2,912000,New Customer
U881C,Eov2ScKb5Q8whRTfGCUQ, Android,7/26/2020,7/29/2020,Hồ Chí Minh - Lâm Đồng,6ByIZdC7qv8Nq0iDmaK5Q2V9sdb9R0oXMzAOz1d82Hs,4,limousine,Seater,2,720000,New Customer
M97C9,Ep184NXIM0DQrmnEphOA, Android,7/12/2020,7/12/2020,Hồ Chí Minh - Quảng Ngãi,dAo9AwXExdJm+qjz3UyS+cXHuge1exZpPT7ThfrFumw,3.1,normal,Sleeper,3,1080000,New Customer
A8UA8,Ep1lDsZGe1/mgDG7vjpw, iOS,7/7/2020,7/9/2020,Hồ Chí Minh - Bình Thuận,ZNDdklXZ9heMhXqaslijfMjcAbbS/VEli9GIYriP7CQ,4.2,normal,Sleeper,1,96000,New Customer
0D926,ePTr5ZU8O8uM3CKN8Asw, iOS,8/10/2020,8/10/2020,Thanh Hóa - Hà Nội,PrS79bVdJQovG/4MJM5ES2Hl6VJJPQ1dRzECJN8k81E,4.2,limousine,Seater,2,432000,Old Customer
78307,ePTr5ZU8O8uM3CKN8Asw, iOS,7/11/2020,7/12/2020,Thanh Hóa - Hà Nội,PrS79bVdJQovG/4MJM5ES2Hl6VJJPQ1dRzECJN8k81E,4.2,limousine,Seater,1,168000,Old Customer
846QP,ePTr5ZU8O8uM3CKN8Asw, iOS,7/2/2020,7/3/2020,Thanh Hóa - Hà Nội,PrS79bVdJQovG/4MJM5ES2Hl6VJJPQ1dRzECJN8k81E,4.2,limousine,Seater,2,384000,Old Customer
NKX51,epww4JKmG/Y+t4KR+5ZQ, iOS,8/26/2020,8/27/2020,Kiên Giang - Hồ Chí Minh,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,1,224000,Old Customer
99F1D,epww4JKmG/Y+t4KR+5ZQ, iOS,7/30/2020,7/31/2020,Hồ Chí Minh - Kiên Giang,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,1,336000,Old Customer
1V6AQ,epww4JKmG/Y+t4KR+5ZQ, iOS,7/22/2020,7/23/2020,Kiên Giang - Hồ Chí Minh,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,3,1008000,Old Customer
4QEBJ,epww4JKmG/Y+t4KR+5ZQ, iOS,7/4/2020,7/4/2020,Hồ Chí Minh - Kiên Giang,OJR6c4Dznvo3s55VV29CkKBAXxDyv3ZGzkkZU+2AQHM,4.9,limousine,Sleeper,1,224000,Old Customer
2HA1D,eq0m1NAtZmpWKmS8FA4A, iOS,7/30/2020,8/5/2020,Hà Nội - Hải Phòng,ieE326LjYTAbV6uc2Fni1pEUCOx6M/Vf73ARS6YCZ7k,4.6,limousine,Seater,2,528000,Old Customer
65S1N,eq0m1NAtZmpWKmS8FA4A, iOS,7/21/2020,7/23/2020,Hải Phòng - Hà Nội,ieE326LjYTAbV6uc2Fni1pEUCOx6M/Vf73ARS6YCZ7k,4.6,limousine,Seater,2,528000,Old Customer
092KV,eq0m1NAtZmpWKmS8FA4A, iOS,7/4/2020,7/6/2020,Hải Phòng - Hà Nội,HzeMkrKlOA3bIoNa4t7zcouqsc9WDAziKuANbin0Joc,4.6,limousine,Seater,2,240000,Old Customer
DS079,EQ1OLa7xwFkx8osCV5PA, iOS,7/18/2020,7/19/2020,Đắk Lắk - Hồ Chí Minh,VQskpo8A72uzGQSXOP04omN3AHsYV5orHuSrObloJV8,4.5,limousine,Sleeper,2,608000,Old Customer
9I28S,EQ1OLa7xwFkx8osCV5PA, iOS,7/16/2020,7/17/2020,Hồ Chí Minh - Đắk Lắk,VQskpo8A72uzGQSXOP04omN3AHsYV5orHuSrObloJV8,4.5,limousine,Sleeper,2,912000,Old Customer
1D57P,EQ1OLa7xwFkx8osCV5PA, iOS,7/5/2020,7/7/2020,Đắk Lắk - Hồ Chí Minh,VQskpo8A72uzGQSXOP04omN3AHsYV5orHuSrObloJV8,4.5,limousine,Sleeper,1,304000,Old Customer
CBOP9,EQ2jl5o9h3A+Q2RqA71g, iOS,7/1/2020,7/1/2020,Quảng Ninh - Hà Nội,GXpjx3BPc2yeXKrY9b2UmD5tTzpLDFrcIoJgL2+aPxs,4,limousine,Seater,4,1680000,Old Customer
4F10P,eQ4hqxuQALrHcAOLf52w, Android,7/14/2020,7/14/2020,Bà Rịa-Vũng Tàu - Hồ Chí Minh,lsflCU0tfkL7xAt53u1glgiDeVVPMwsRNQEojVnmVV4,3.5,normal,Seater,1,132000,Old Customer
9USPE,EqamUIrgawp/3k7LbBWg, iOS,7/26/2020,7/27/2020,Hà Nội - Lào Cai,6t2T7GeIoqA7YTUEi1Zxyc2cQMcG6Lr+9koLn/3f7Rk,3.8,limousine,Sleeper,4,1056000,New Customer
L6F8Z,EqJECSzmW0mXTg3r4z9Q, Android,7/17/2020,7/24/2020,Đà Nẵng - Kon Tum,U72/mCNqSpHobzhJv9RZBRSme+FjBwJeItuktFyuUCw,4,normal,Sleeper,2,480000,New Customer
